target,feature_space,n_neighbors,n_obs,mae,rmse
mp_e_form_per_atom,structural,5,373,0.4181900663664288,0.7141910642243138
mp_e_form_per_atom,composition,5,373,0.2345069312254695,0.44194926822982483
mp_e_form_per_atom,combined,5,373,0.24702382727624264,0.43211913109109584
mp_e_above_hull,structural,5,373,0.031052790756653004,0.07514629647060526
mp_e_above_hull,composition,5,373,0.03203112517408252,0.06848151071425278
mp_e_above_hull,combined,5,373,0.029339160926411752,0.06317590736043266
