cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma
1000224,data/raw/cif/1/00/02/1000224.cif,MnFeH4NF6,104,5,1051.9518298363198,3.1170866575458223,10.5276,7.797,12.8156,90.0,90.0,90.0
1000296,data/raw/cif/1/00/02/1000296.cif,Na2MnGaF7,66,4,858.1713543512157,3.5250896351630487,7.401,7.401,18.091,90.0,90.0,119.99999999999999
1000225,data/raw/cif/1/00/02/1000225.cif,MnFeH4NF6,116,5,1051.133180095044,3.1195143253561977,7.7947,12.8133,10.5244,90.0,90.0,90.0
1000297,data/raw/cif/1/00/02/1000297.cif,BaNa4Cu3F12,320,4,4200.557260375001,4.098014081380143,16.135,16.135,16.135,90.0,90.0,90.0
1000226,data/raw/cif/1/00/02/1000226.cif,Ba6Zn7F26,78,3,1104.645583226542,5.338830655862419,19.46,5.956,12.243,90.0,128.88,90.0
1000298,data/raw/cif/1/00/02/1000298.cif,KSiSbO5,64,4,893.7494712360001,3.9974218279222984,13.005,6.4748,10.614,90.0,90.0,90.0
1000227,data/raw/cif/1/00/02/1000227.cif,MnFeH4O2F5,52,5,555.0432263106501,2.8936678206048962,7.5635,10.901,6.7319,90.0,90.0,90.0
1000299,data/raw/cif/1/00/02/1000299.cif,KAlH6(OF3)2,64,5,646.586319426048,2.240636941420112,8.6472,8.6472,8.6472,90.0,90.0,90.0
1000228,data/raw/cif/1/00/02/1000228.cif,FeF3,64,2,1100.7030781249998,2.7237220327226894,10.325,10.325,10.325,90.0,90.0,90.0
1000229,data/raw/cif/1/00/02/1000229.cif,InAg(PS3)2,20,4,428.8378321560657,3.694247433913145,6.182,6.182,12.957,90.0,90.0,119.99999999999999
1000230,data/raw/cif/1/00/02/1000230.cif,MnFeH4O2F5,52,5,530.6577549,3.0266413864478685,7.475,10.766,6.594,90.0,90.0,90.0
1000231,data/raw/cif/1/00/02/1000231.cif,ZnFeH4O2F5,52,5,522.415152028,3.2075264968494848,7.451,10.747,6.524,90.0,90.0,90.0
1000232,data/raw/cif/1/00/02/1000232.cif,NaCu3F7,44,3,530.7053697917906,4.338153899941445,12.124,7.344,6.924,90.0,120.59,90.0
1000233,data/raw/cif/1/00/02/1000233.cif,BaYFeCuO5,9,5,114.485442984,6.173361709145088,3.867,3.867,7.656,90.0,90.0,90.0
1000234,data/raw/cif/1/00/02/1000234.cif,Ba2Y1Cu2.5Pd0.5O7,13,5,174.068331613,6.559708757653066,3.841,3.883,11.671,90.0,90.0,90.0
1000235,data/raw/cif/1/00/02/1000235.cif,FeH10N2OF5,76,5,678.7229034299999,2.0054898269172177,10.491,8.09,7.997,90.0,90.0,90.0
1000236,data/raw/cif/1/00/02/1000236.cif,Na2Ca3Al2F14,84,4,1079.0984445929998,2.992417039341658,10.257,10.257,10.257,90.0,90.0,90.0
