cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma,mp_id,mp_e_form_per_atom,mp_e_above_hull,oqmd_best_id,oqmd_delta_e,oqmd_stability
1000303,data/raw/cif/1/00/03/1000303.cif,NdNiO3,20,3,220.89005447872,7.545564647318895,5.3888,5.3845,7.6127,90.0,90.0,90.0,mp-22106,-2.425266711,0.0,,,
1000366,data/raw/cif/1/00/03/1000366.cif,Li3ThF7,48,3,501.967510891091,5.105659554149117,6.21785,6.21785,12.9836,90.0,90.0,90.0,mp-27761,-3.555880871931816,0.209163741590908,,,
1000304,data/raw/cif/1/00/03/1000304.cif,SmNiO3,20,3,219.24635479335,7.787481345917326,5.3283,5.4374,7.5675,90.0,90.0,90.0,mp-22495,-2.4529482349999983,0.0,,,
1000365,data/raw/cif/1/00/03/1000365.cif,Li3ThF7,48,3,499.8343183636479,5.127449484148792,6.2096,6.2096,12.9628,90.0,90.0,90.0,mp-27761,-3.555880871931816,0.209163741590908,,,
1000305,data/raw/cif/1/00/03/1000305.cif,NaSrCrF6,36,4,495.2299701030896,3.70978309930392,5.5676,9.2937,9.5858,90.0,93.201,90.0,mp-17259,-3.460536837375479,0.0,,,
1000367,data/raw/cif/1/00/03/1000367.cif,Li3ThF7,48,3,505.177754563953,5.073214714424053,6.2301,6.2301,13.0153,90.0,90.0,90.0,mp-27761,-3.555880871931816,0.209163741590908,,,
1000306,data/raw/cif/1/00/03/1000306.cif,NaSrFeF6,36,4,522.488879862757,3.5651682560899403,5.4053,9.3103,10.3823,90.0,90.0,90.0,mp-556802,-3.287027767097701,0.0,,,
1000368,data/raw/cif/1/00/03/1000368.cif,Li3ThF7,48,3,509.8029854072991,5.027187543450694,6.24774,6.24774,13.0604,90.0,90.0,90.0,mp-27761,-3.555880871931816,0.209163741590908,,,
1000307,data/raw/cif/1/00/03/1000307.cif,LaNiO3,30,3,337.4315705127685,7.251666392582217,5.4535,5.4535,13.101,90.0,90.0,120.0,mp-2764171,-2.472384724499998,0.0,,,
1000379,data/raw/cif/1/00/03/1000379.cif,CaTl2O4,28,3,384.093713619,8.86861179025304,3.3255,11.022,10.479,90.0,90.0,90.0,mp-5402,-1.72750916166667,0.009395390238092001,,,
